sentence,linear_amr,graph_amr,is_valid,ground_truth,smatch_score
"mất hai cánh tay , một mắt .",(m /mất:theme(c1 /cánh_tay:quant(2):theme(m1 /mắt:quant(1)),(m / mất:theme(c1 / cánh_tay:quant(x / 2):theme(m1 / mắt:quant(x2 / 1)),False,"(m / mất
:theme(a / and
:op1(c / cánh tay
:quant 2)
:op2(m2 / mắt
:quant 1)))",0.0
"một tập thể vững mạnh còn nhờ "" đầu tàu "" .",(n /nhờ:theme(t1 /tập_thể:mod(v /vững_mạnh):quant(1):pivot(đ /đầu_tàu)),(n / nhờ:theme(t1 / tập_thể:mod(v / vững_mạnh):quant(x / 1):pivot(đ / đầu_tàu)),False,"(n / nhờ
:beneficiary-arg0(t / tập thể
:mod(v / vững mạnh)
:quant 1)
:theme(đ / đầu tàu))",0.0
hai lão nông - một cánh tay còn nguyên vẹn - đã dựng lên hai gia đình gương mẫu .,(a /and:op1(l1 /lão_nông:quant(2):op2(d /dựng:agent(c /cánh_tay:part-of(l2 /lão_nông):quant(1):tense(đ /đã):compound(l3 /lên):result-arg1(g /gia_đình:mod(g1 /gương_mẫu):quant(2))),(a / and:op1(l1 / lão_nông:quant(x / 2):op2(d / dựng:agent(c / cánh_tay:part-of(l2 / lão_nông):quant(x2 / 1):tense(đ / đã):compound(l3 / lên):result-arg1(g / gia_đình:mod(g1 / gương_mẫu):quant(x / 2))),False,"(d / dựng
:agent(l / lão nông
:mod(n / nguyên vẹn
:domain(c / cánh tay
:quant 1))
:quant 2)
:tense(đ / đã)
:compound(l1 / lên)
:theme(g / gia đình
:mod(g1 / gương mẫu)
:quant 2))",0.0
"có em trở về còn quyết tâm dùng tiền dành dụm tiếp tục học văn hóa , vào đại học "" .",(t /trở_về:agent(e /em):concession(q /quyết_tâm:topic(d /dùng_tiền:mod(n /nhiều)):purpose(h /học:degree(c2 /tiếp_tục):location(đ /đại_học:prep(v1 /vào)):theme(văn_hóa)):agent(em))_:pivot(em))),(t / trở_về:agent(e / em):concession(q / quyết_tâm:topic(d / dùng_tiền:mod(n / nhiều)):purpose(h / học:degree(c2 / tiếp_tục):location(đ / đại_học:prep(v1 / vào)):theme(v / văn_hóa)):agent(e / em))_:pivot(e / em))),False,"(c / có
:theme-of(q / quyết tâm
:agent(e / em
:agent-of(t / trở về))
:topic(d / dùng
:theme(t1 / tiền
:compound(d1 / dành dụm))
:purpose(t2 / tiếp tục
:topic(a / and
:op1(h / học
:theme(v / văn hóa))
:op2(v1 / vào
:op2(đ / đại học)))))))",0.0
"có em trở về còn quyết tâm dùng tiền dành dụm tiếp tục học văn hóa , vào đại học "" .",(t /trở_về:agent(e /em):concession(q /quyết_tâm:topic(d /dùng_tiền:mod(n /nhiều)):purpose(h /học:degree(c2 /tiếp_tục):location(đ /đại_học:prep(v1 /vào)):theme(văn_hóa)):agent(em))_:pivot(em))),(t / trở_về:agent(e / em):concession(q / quyết_tâm:topic(d / dùng_tiền:mod(n / nhiều)):purpose(h / học:degree(c2 / tiếp_tục):location(đ / đại_học:prep(v1 / vào)):theme(v / văn_hóa)):agent(e / em))_:pivot(e / em))),False,"(c / có
:theme-of(q / quyết tâm
:agent(e / em
:agent-of(t / trở về))
:topic(d / dùng
:theme(t1 / tiền
:compound(d1 / dành dụm))
:purpose(t2 / tiếp tục
:topic(a / and
:op1(h / học
:theme(v / văn hóa))
:op2(v1 / vào
:op2(đ / đại học)))))))",0.0
dự kiến từ nay đến năm 2007 sẽ hoàn thành phổ cập thpt .,(h /hoàn_thành:time(n1 /năm:mod(2007):tense(s /sẽ):theme(p /phổ_cập:theme(t1 /thpt)):time(b /before:op1(wz3 /now))),(h / hoàn_thành:time(n1 / năm:mod(x / 2007):tense(s / sẽ):theme(p / phổ_cập:theme(t1 / thpt)):time(b / before:op1(wz3 / now))),False,"(h / hoàn thành
:source(d / dự kiến
:time(dx / date-interval
:op1(d2 / date-entity
:year 2005)
:op2(d3 / date-entity
:year 2007)))
:tense(s / sẽ)
:topic(p / phổ cập
:theme(t1 / thpt)))",0.0
"con của "" thép "" .",(t /thép:classifier(c1 /con)),"    (t / thép
    :classifier
    (c1 / con
    )
)",True,"(c / con
:poss(t / thép))",0.0
tôi nghe câu chuyện anh Thanh cho anh Đu mượn chú heo con .,(n /nghe:agent(t /tôi):theme(c1 /câu_chuyện:topic(m /mượn:agent(a2 /anh_Đu):theme(h1 /heo_con:classifier(c2 /chú)):initiated_by(anh_thanh))_:agent(anh_thanh))),"    (n / nghe
    :agent
    (t / tôi
    )
    :theme
        (c1 / câu_chuyện
        :topic
            (m / mượn
            :agent
            (a2 / anh_Đu
            )
            :theme
                (h1 / heo_con
                :classifier
                (c2 / chú
                )
            )
            :initiated_by
            (a / anh_thanh
            )
        )
        _
        :agent
        (a / anh_thanh
        )
    )
)",True,"(n / nghe
:agent(t / tôi)
:theme(c / câu chuyện
:theme-of(c1 / cho
:agent(p / person
:name(nx / name
:op1(a / anh)
:op2(t1 / Thanh))
:wiki -)
:beneficiary-arg2(p2 / person
:agent-of(m / mượn
:theme(h / heo
:classifier(c2 / chú)
:mod(c3 / con)))
:wiki -
:name(n1 / name
:op1(a1 / anh)
:op2(đ / Đu))))))",0.0
"ai trồng lúa , xã mời các cán bộ về tập huấn cho trồng lúa .",(m /mời:agent(x /xã):topic(t1 /tập_huấn:beneficiary(cán_bộ):time(v /về:beneficiary-of(t2 /trồng_lúa:agent(a)))),(m / mời:agent(x / xã):topic(t1 / tập_huấn:beneficiary(c / cán_bộ):time(v / về:beneficiary-of(t2 / trồng_lúa:agent(a / a)))),False,"(m / mời
:beneficiary-arg0(a / ai
:agent-of(t / trồng
:result-arg1(l / lúa)))
:agent(x / xã)
:goal(c1 / cán bộ
:agent-of(v / về
:purpose(t1 / tập huấn
:topic(t2 / trồng
:prep(c2 / cho)
:result-arg1(l1 / lúa))))))",0.0
"ai nuôi cá , nuôi bò thì được tập huấn về chăn nuôi .",(t1 /tập_huấn:condition(n /nuôi:agent(a /ai):theme(c /cá)):modality(đ /được):topic(c2 /chăn_nuôi:theme(b /bò))),"    (t1 / tập_huấn
    :condition
        (n / nuôi
        :agent
        (a / ai
        )
        :theme
        (c / cá
        )
    )
    :modality
    (đ / được
    )
    :topic
        (c2 / chăn_nuôi
        :theme
        (b / bò
        )
    )
)",True,"(t1 / tập huấn
:beneficiary-arg0(a / ai
:agent-of(n / nuôi
:theme(ax / and
:op1(c / cá)
:op2(b / bò))))
:topic(c1 / chăn nuôi
:prep(v / về))
:modality +)",0.0
ai muốn giữ nghề truyền thống được tạo điều kiện vay vốn .,(m /muốn:pivot(a /ai):theme(g /giữ:theme(n /nghề:mod(t /truyền_thống)):agent(đ /được:theme(t1 /tạo_điều_kiện:purpose(v /vay_vốn:agent(ai)))))),"    (m / muốn
    :pivot
    (a / ai
    )
    :theme
        (g / giữ
        :theme
            (n / nghề
            :mod
            (t / truyền_thống
            )
        )
        :agent
            (đ / được
            :theme
                (t1 / tạo_điều_kiện
                :purpose
                    (v / vay_vốn
                    :agent
                    (a / ai
                    )
                )
            )
        )
    )
)",True,"(t1 / tạo
:beneficiary-arg0(a / ai
:pivot-of(m / muốn
:topic(g / giữ
:theme(n / nghề
:mod(t / truyền thống)))))
:theme(đ1 / điều kiện)
:purpose(v / vay
:theme(v1 / vốn))
:modality +)",0.0
nhưng không !,(c /contrast-01:ARG2(k /không)),"    (c / contrast-01
    :ARG2
    (k / không
    )
)",True,"(c / contrast-01
:ARG2(k / không))",0.0
"gặp những đứa con của quê hương này , tôi bị bất ngờ bởi sức sống mãnh liệt .",(b1 /bất_ngoại:condition(g /gặp:goal(c /con:classifier(đ /đứa):poss(q /quê_hương:mod(n2 /này))):agent(tôi)):domain(t /tôi):degree(b /bị):reason(s /sức_sống:mod(m1 /mãnh_liệt))),"    (b1 / bất_ngoại
    :condition
        (g / gặp
        :goal
            (c / con
            :classifier
            (đ / đứa
            )
            :poss
                (q / quê_hương
                :mod
                (n2 / này
                )
            )
        )
        :agent
        (t / tôi
        )
    )
    :domain
    (t / tôi
    )
    :degree
    (b / bị
    )
    :reason
        (s / sức_sống
        :mod
        (m1 / mãnh_liệt
        )
    )
)",True,"(b1 / bất ngờ
:time(g / gặp
:goal(c / con
:classifier(đ / đứa)
:poss(q / quê hương
:mod(n1 / này)))
:agent t)
:pivot(t / tôi)
:reason(s / sức sống
:prep(b2 / bởi)
:mod(m / mãnh liệt))
:modality +)",0.0
mình còn sống .,(s /sống:pivot(m /mình)),"    (s / sống
    :pivot
    (m / mình
    )
)",True,"(s / sống
:pivot(m / mình))",0.0
hên thiệt !,(h /hên:mode(expressive):modality(t /thiệt)),"    (h / hên
    :mode
    (e / expressive
    )
    :modality
    (t / thiệt
    )
)",True,"(h / hên
:modality(t / thiệt)
:mode expressive)",0.0
"à , mà chuyện đó cũ hết rồi ... "" .",(m /multi-sentence:snt1(à /à:mode(expressive):snt2(c /chuyện:mod(đ /đó):mod(c1 /cũ)):manner(h /hết:compound(r /rồi))),(m / multi-sentence:snt1(à / à:mode(e / expressive):snt2(c / chuyện:mod(đ / đó):mod(c1 / cũ)):manner(h / hết:compound(r / rồi))),False,"(c1 / cũ
:mode expressive
:domain(c / chuyện
:mod(đ / đó)))",0.0
sau chiến tranh đi tháo gỡ bom mìn .,(t /tháo_gỡ:time(s /sau:mod(c /chiến_tranh)):agent(b /bom_mìn)),"    (t / tháo_gỡ
    :time
        (s / sau
        :mod
        (c / chiến_tranh
        )
    )
    :agent
    (b / bom_mìn
    )
)",True,"(đ / đi
:compound(t / tháo gỡ
:patient(b / bom
:mod(m / mìn)))
:time(a / after
:op1(c / chiến tranh)))",0.0
tháo gỡ đến trái 223 thì bị nổ .,(n /nổ:condition(t /tháo_gỡ:quant(đ /đến):location(t1 /trái:quant(223)):modality(b /bị)),(n / nổ:condition(t / tháo_gỡ:quant(đ / đến):location(t1 / trái:quant(x / 223)):modality(b / bị)),False,"(n / nổ
:time(t / tháo gỡ
:patient(t1 / trái
:ord 223))
:modality -)",0.0
có người đã là cô giáo dạy thcs .,(c /có:theme(n /người:pivot-of(d /dạy_thcs:agent(cô):tense(đ /đã)))),"    (c / có
    :theme
        (n / người
        :pivot-of
            (d / dạy_thcs
            :agent
            (c / cô
            )
            :tense
            (đ / đã
            )
        )
    )
)",True,"(c / có
:theme(n / người
:domain-of(c1 / cô giáo
:tense(đ / đã)
:agent-of(d / dạy
:theme(t / thcs)))))",0.0
gần đó cũng vừa mọc lên một nhà văn hóa trị giá khoảng 5 tỉ đồng .,(m1 /mọc:location(g /gần:mod(đ /đó)):time(v /vừa):compound(l /lên):result-arg1(n /nhà_văn_hoá:agent-of(t /trị_giá:quant(k /khoảng:op2(5000000000))))),"    (m1 / mọc
    :location
        (g / gần
        :mod
        (đ / đó
        )
    )
    :time
    (v / vừa
    )
    :compound
    (l / lên
    )
    :result-arg1
        (n / nhà_văn_hoá
        :agent-of
            (t / trị_giá
            :quant
                (k / khoảng
                :op2
                (x / 5000000000
                )
            )
        )
    )
)",True,"(m / mọc
:location(đ / đó
:mod(g / gần))
:tense(v / vừa)
:compound(l / lên)
:theme(n / nhà văn hóa
:theme-of(t / trị giá
:theme(a / about
:op1(m2 / monetary-quantity
:unit(đ1 / đồng)
:quant 5000000000)))
:quant 1))",0.0
ngôi nhà của Ama Công .,(n1 /nhà:classifier(n /ngôi):poss(p /person:name(n2 /name:op1(A /Ama):op2(C /Công)))),"    (n1 / nhà
    :classifier
    (n / ngôi
    )
    :poss
        (p / person
        :name
            (n2 / name
            :op1
            (A / Ama
            )
            :op2
            (C / Công
            )
        )
    )
)",True,"(n1 / nhà
:classifier(n / ngôi)
:poss(p / person
:wiki -
:name(n2 / name
:op2(wz2 / Công)
:op1(wz3 / Ama))))",0.0
đó là ngôi nhà của một gia đình người Kinh dưới chân núi chư pah ( Gia Lai ) .,(n1 /nhà:domain(đ /đó):classifier(n /ngôi):poss(g /gia_đình:mod(n2 /người_Kinh)):location(c2 /chân_núi:prep(d /dưới):name(n3 /name:op1(ch1 /chư_pah):op2(wz4 /province:name(wz5 /name:op1(G /Gia):op2(L1 /Lai)))))),"    (n1 / nhà
    :domain
    (đ / đó
    )
    :classifier
    (n / ngôi
    )
    :poss
        (g / gia_đình
        :mod
        (n2 / người_Kinh
        )
    )
    :location
        (c2 / chân_núi
        :prep
        (d / dưới
        )
        :name
            (n3 / name
            :op1
            (ch1 / chư_pah
            )
            :op2
                (wz4 / province
                :name
                    (wz5 / name
                    :op1
                    (G / Gia
                    )
                    :op2
                    (L1 / Lai
                    )
                )
            )
        )
    )
)",True,"(n1 / nhà
:domain(đ / đó)
:classifier(n / ngôi)
:poss(g / gia đình
:mod(n2 / người
:compound(e / ethnic-group
:name(n4 / name
:op1(k / Kinh))
:wiki -))
:location(c1 / chân
:prep(d / dưới)
:mod(p / province
:name(n6 / name
:op1(wz2 / Gia)
:op2(wz3 / Lai))
:wiki(wz4 / Gia_Lai))
:compound(m / mountain
:name(n5 / name
:op2(wz5 / Pah)
:op1(wz6 / Chư))
:wiki -))
:quant 1))",0.0
"cứ nhà nào có người ốm đau , bệnh hoạn anh đều có mặt .",(c2 /có_mặt:condition(n1 /nhà:mod(n2 /nào):pivot-of(c3 /chỗ:location-of(ố /ốm_đau:pivot(n4 /người)):quant(1)):agent(a /anh:domain(b /bệnh_hoạn:patient(n5 /người)))),(c2 / có_mặt:condition(n1 / nhà:mod(n2 / nào):pivot-of(c3 / chỗ:location-of(ố / ốm_đau:pivot(n4 / người)):quant(x / 1)):agent(a / anh:domain(b / bệnh_hoạn:patient(n5 / người)))),False,"(c2 / có mặt
:location(n / nhà
:mod(n1 / nào)
:pivot-of(c1 / có
:theme(n2 / người
:mod(o / or
:op1(ố / ốm đau)
:op2(b / bệnh hoạn)))))
:pivot(a / anh)
:degree(đ / đều))",0.0
""" hồi ấy đây là vùng giao tranh ác liệt - ông kể - ngày nào cũng có người chết vì bom đạn .",(k /kể:agent(ô /ông):topic(a1 /and:op1(v /vùng:domain(đ /đây):mod(g /giao_tranh:degree(á1 /ác_liệt)):time(b /before)):op2(c3 /có:theme(n1 /người:agent-of(c4 /chết:pivot-of(n2 /nó)):cause(b1 /bom_đạn)):frequency(r /rate-entity-91:unit(t1 /day)))):time(d /date-entity:year(h /hồi:mod(ấ /ấy))))),(k / kể:agent(ô / ông):topic(a1 / and:op1(v / vùng:domain(đ / đây):mod(g / giao_tranh:degree(á1 / ác_liệt)):time(b / before)):op2(c3 / có:theme(n1 / người:agent-of(c4 / chết:pivot-of(n2 / nó)):cause(b1 / bom_đạn)):frequency(r / rate-entity-91:unit(t1 / day)))):time(d / date-entity:year(h / hồi:mod(ấ / ấy))))),False,"(k / kể
:agent(ô / ông)
:topic(a / and
:op1(v / vùng
:time(h / hồi
:mod(ấ / ấy))
:domain(đ / đây)
:theme-of(g / giao tranh
:manner(á / ác liệt)))
:op2(c1 / có
:time(n / ngày
:mod(n1 / nào))
:theme(n2 / người
:patient-of(c2 / chết
:reason(b / bom đạn
:prep(v1 / vì)))))))",0.0
nay thì mô hình đã thành công .,(t1 /thành_công:time(n / Nay):theme(m /mô_hình)),"    (t1 / thành_công
    :time
    (n / Nay
    )
    :theme
    (m / mô_hình
    )
)",True,"(t1 / thành công
:theme(m / mô hình)
:tense(đ / đã)
:time(n / now))",0.0
tất cả chỉ với hai cùi tay cụt .,(c /chỉ:domain(t /tất_cả):means(t2 /trông:degree(c1 /cụt):part-of(tôi):quant(2)),(c / chỉ:domain(t / tất_cả):means(t2 / trông:degree(c1 / cụt):part-of(t / tôi):quant(x / 2)),False,"(t / tất cả
:manner(c1 / cùi tay
:degree(c / chỉ)
:mod(c2 / cụt)
:quant 2))",0.0
sẽ tổ chức phố đi bộ tại Hội An .,(t /tổ_chức:theme(p /phố_đi_bộ):location(H /Hội_An):tense(s /sẽ)),"    (t / tổ_chức
    :theme
    (p / phố_đi_bộ
    )
    :location
    (H / Hội_An
    )
    :tense
    (s / sẽ
    )
)",True,"(t / tổ chức
:tense(s / sẽ)
:theme(p / phố
:theme-of(đ / đi
:compound(b / bộ)))
:location(c / city
:prep(t1 / tại)
:name(n / name
:op2(wz1 / An)
:op1(wz2 / Hội))
:wiki(wz3 / Hội_An)))",0.0
"công ty đồng ý , cụ mãn nguyện , yên tâm sống ở đây suốt quãng đời còn lại .",(đ /đồng_ý:agent(c /công_ty):manner(n /nghiêm_mục):result(l1 /lên_tinh_thân:topic(s /sống:pivot(t /ta):location(đ1 /đây:prep(ở /ở)):duration(q /quãng_đời:mod(c2 /còn_lại)))),(đ / đồng_ý:agent(c / công_ty):manner(n / nghiêm_mục):result(l1 / lên_tinh_thân:topic(s / sống:pivot(t / ta):location(đ1 / đây:prep(ở / ở)):duration(q / quãng_đời:mod(c2 / còn_lại)))),False,"(a / and
:op1(đ / đồng ý
:agent(c / công ty))
:op2(a1 / and
:op1(m / mãn nguyện
:pivot(c1 / cụ))
:op2(s / sống
:manner(y / yên tâm)
:location(đ1 / đây
:prep(ở / ở))
:time(q / quãng
:mod(s1 / suốt)
:mod(đ2 / đời)
:theme-of(c2 / còn
:compound(l / lại)))
:pivot c1)))",0.0
một điểm chung là người thương binh ít chạm vào quá khứ .,(c /chung:domain(đ /điểm):modality(m /một):topic(t1 /thương_binh:pivot(n /người)):theme(c2 /chạm:degree(í /ít):compound(v /vào):theme(q /quá_khứ):agent(thương_binh))),"    (c / chung
    :domain
    (đ / điểm
    )
    :modality
    (m / một
    )
    :topic
        (t1 / thương_binh
        :pivot
        (n / người
        )
    )
    :theme
        (c2 / chạm
        :degree
        (í / ít
        )
        :compound
        (v / vào
        )
        :theme
        (q / quá_khứ
        )
        :agent
        (t / thương_binh
        )
    )
)",True,"(t / thương binh
:domain(đ / điểm
:mod(c / chung)
:quant 1)
:classifier(n / người)
:agent-of(c1 / chạm
:degree(í / ít)
:goal(q / quá khứ
:prep(v / vào))))",0.0
"giờ nó đi làm có chút vốn , lấy đó mà học tiếp "" .",(a /and:op1(đ /đi:agent(n /nó):compound(l /làm)):op2(l1 /lấy:theme(v /vốn:quant(m /một_chút)):purpose(h /học:compound(t /tiếp):pivot(nó))_:agent(nó))),"    (a / and
    :op1
        (đ / đi
        :agent
        (n / nó
        )
        :compound
        (l / làm
        )
    )
    :op2
        (l1 / lấy
        :theme
            (v / vốn
            :quant
            (m / một_chút
            )
        )
        :purpose
            (h / học
            :compound
            (t / tiếp
            )
            :pivot
            (n / nó
            )
        )
        _
        :agent
        (n / nó
        )
    )
)",True,"(đ / đi
:agent(n / nó)
:compound(l / làm)
:time(n1 / now)
:purpose(a / and
:op1(c / có
:theme(v / vốn))
:op2(l1 / lấy
:theme(đ1 / đó)
:purpose(h / học
:compound(t / tiếp)))))",0.0
"đấy là phòng giá cao nhất : 3, 5 triệu / tháng .",(p /phòng:domain(đ /đấy):mod(g /giá:degree(c /cao:degree(n /nhất)):quant(wz1 /product-of:op2(t1 /triệu:quant(3.5):op1(t /tháng))))),"    (p / phòng
    :domain
    (đ / đấy
    )
    :mod
        (g / giá
        :degree
            (c / cao
            :degree
            (n / nhất
            )
        )
        :quant
            (wz1 / product-of
            :op2
                (t1 / triệu
                :quant
                (x / 3.5
                )
                :op1
                (t / tháng
                )
            )
        )
    )
)",True,"(p / phòng
:domain(đ / đấy)
:mod(g / giá
:mod(c / cao
:degree(n / nhất)))
:mod(m / monetary-quantity
:mod(t1 / tháng)
:unit(đ1 / đồng)
:quant 3500000))",0.0
